,address,latitude,level,longitude
0,下陈村,30.598466736400987,城市,114.31158155473231
1,阳逻镇高新街道11号,30.598466736400987,城市,114.31158155473231
2,湖北省中医院湖北中医药大学附属医院光谷门诊,30.559258261392788,医疗,114.32195788167807
3,武汉站,30.61276649039458,火车站,114.43097740616616
4,武汉火车站,30.61276649039458,火车站,114.43097740616616
5,武汉站,30.61276649039458,火车站,114.43097740616616
6,武汉站,30.61276649039458,火车站,114.43097740616616
7,武汉火车站,30.61276649039458,火车站,114.43097740616616
8,712研究所,30.598466736400987,城市,114.31158155473231
9,武汉高铁站,30.59711981291366,休闲娱乐,114.29867703675929
10,武汉高铁站,30.59711981291366,休闲娱乐,114.29867703675929
11,武汉市武昌区,30.559566983522483,区县,114.32254851755089
12,武汉大学,30.543803317143624,教育,114.37292090919235
13,武昌高铁站,30.559566983522483,区县,114.32254851755089
14,东湖,28.691259179775223,区县,115.9054660260597
15,武昌车站,30.533054937377617,长途汽车站,114.3244856235526
16,武昌火车站,30.53427227078553,火车站,114.32417804374599
17,武昌站,30.53427227078553,火车站,114.32417804374599
18,武昌站,30.53427227078553,火车站,114.32417804374599
19,武汉市第三医院,30.546402925290018,医疗,114.30965900127987
20,黄鹤楼,30.54885519959534,购物,114.20169534508821
21,长江大桥,30.588503425866772,道路,114.30758650985813
22,武汉市同济医院,30.585719709239196,医疗,114.26720634050604
23,古田客运站,30.61072782838433,长途汽车站,114.19182135058364
24,浙商大厦,30.611061638265955,商务大厦,114.29223546760834
25,小天鹅宾馆,30.606781231008952,宾馆,114.26906448545341
26,汉口火车站,30.625339158995697,火车站,114.2608472358009
27,汉口站,30.625339158995697,火车站,114.2608472358009
28,武汉市汉口站,30.625339158995697,火车站,114.2608472358009
29,汉口站,30.625339158995697,火车站,114.2608472358009
30,汉口站,30.625339158995697,火车站,114.2608472358009
31,汊湖汉兴街长兴二院（7栋）,30.638261449146313,道路,114.25406835293094
32,汉口站,30.625339158995697,火车站,114.2608472358009
33,欧亚会展国际酒店,30.646305605338913,宾馆,114.21251983665289
34,维也纳酒店,30.621713261801705,购物,114.24511898428779
35,武汉天河国际机场,30.776258109686005,飞机场,114.21737922030911
36,武汉天河机场,30.59711981291366,休闲娱乐,114.29867703675929
37,武汉天河机场,30.59711981291366,休闲娱乐,114.29867703675929
