,address,latitude,level,longitude
0,恒亿豪园向阳坊,24.593950011412698,餐饮,118.11515097641632
1,中凯国际酒店,24.485406605176305,城市,118.09643549976651
2,赖兴饭店,24.485406605176305,城市,118.09643549976651
3,五星三里4号楼,24.661593886155476,楼号,118.26578064089068
4,锦绣祥安小区一期8号楼,24.66194862423644,地产小区,118.26453343352105
5,洪文石村北片区,24.487611873246106,餐饮,118.17698430905585
6,环岛路黄厝村,24.544779065738737,道路,118.18421333281447
7,黄厝塔头,24.440460002721963,宾馆,118.14983598943392
8,假日大厦,24.487353892443714,地产小区,118.13371419028223
9,碧湖豪庭,24.490344562471655,地产小区,118.1230363021803
10,莲坂新村,24.489163610730365,地产小区,118.12330004467793
11,半山御景5号,24.50155585202063,楼号,118.1205538349043
12,曾厝垵社,24.43216059513592,宾馆,118.13197920302082
13,金象嘉园二期,24.478364514109803,地产小区,118.11333460267575
14,厦门大学附属中山医院急诊部,24.477204989940955,医疗,118.10392000161207
15,厦门大学附属中山医院,24.47776144449589,医疗,118.10410343559717
16,武夷嘉园,24.482316418217863,地产小区,118.08965293384622
17,内厝澳路,24.455644736377202,道路,118.07114828949953
18,乌石浦二期花园小区109号,24.509892308752676,地产小区,118.13456811949973
19,殿前五组,24.53316405620778,村庄,118.12054997219062
20,叶厝田乾里,24.607748989391855,公司企业,118.11578500044504
21,厦门市集美区民宿,24.582019062249607,区县,118.10343491663684
22,厦门北站,24.642666339114086,火车站,118.08055309903315
23,中海寰宇天下小区,24.565559034525197,地产小区,118.06719098423774
24,龙湖春江郦城2期,24.590604020336848,地产小区,118.0579440069822
25,厦门大学附属第一医院杏林分院,24.566955010301132,医疗,118.0538980389666
26,聚镇10栋,24.586723415007796,地产小区,118.03550685060578
27,汇利花园A栋,24.50382955383373,楼号,118.04406536651872
