,address,latitude,level,longitude
0,优滋鲜果店,22.60347933512476,购物,113.8851669635955
1,大润欢超市,22.548456637984177,城市,114.06455183658751
2,中心市场,22.777206857518802,购物,114.311358760117
3,万豪酒店,22.51422799146226,宾馆,113.93105618191315
4,东城大厦维也纳酒店,22.645188387715194,宾馆,114.14097957952065
5,东纵路6-3号,22.695318002788806,门址,114.38290899967507
6,金茂园酒店,22.70446603903683,宾馆,114.35422904310828
7,万科金域缇香,22.713886678991166,地产小区,114.3478155909219
8,易林源酒店,22.548456637984177,城市,114.06455183658751
9,东方丽园,22.673390009020352,地产小区,114.32184503965372
10,鼎尚华庭,22.779215079895533,地产小区,114.30823220779055
11,中骏四季阳光一期,22.72690758417904,地产小区,114.30921279808493
12,远洋新干线君域花园,22.72429555298815,地产小区,114.27099699526151
13,龙岗街道宝能悦澜山,22.74113190554186,地产小区,114.25721303619876
14,龙城街道万象天成,22.730083905467144,地产小区,114.26080023959057
15,嘉霖·龙禧（龙禧雅苑）,22.74550169113404,地产小区,114.25131862493589
16,中央悦城,22.738740970899784,地产小区,114.24854411853869
17,华策中心城,22.708503036365087,公司企业,114.25103601802253
18,新亚洲花园,22.7218458997462,地产小区,114.24302780406484
19,回龙埔万科翰邻城,22.736197499310606,地产小区,114.23658156372737
20,龙城街道东方沁园,22.73142066316039,地产小区,114.23095520682858
21,嶂背步行街,22.69051914485265,道路,114.24784138671474
22,招商依山郡,22.73574476418283,地产小区,114.22668358446893
23,中海康城,22.713282432159918,地产小区,114.21333862730876
24,正大时代华庭,22.652581980118107,地产小区,114.18801395770204
25,卓然居,22.64880397634018,地产小区,114.17614895886908
26,平湖特力商厦,22.704819025850632,商务大厦,114.13844096815029
27,大族河山,22.61847641212769,地产小区,114.1637843225116
28,平湖山厦社区梨头廖,22.710778987956715,地产小区,114.12157501271436
29,金龙豪庭B栋,22.623636198529578,地产小区,114.15358460243249
30,山厦社区南油花园,22.70304608089368,地产小区,114.11665714937106
31,金德丰雅居,22.696346421476658,地产小区,114.11945474221987
